index_id,date,open,high,low,close,source,fetched_at
nikkei225,2026-03-11,55025.37,54917.93,55745.38,54882.58,https://indexes.nikkei.co.jp/nkave/historical/nikkei_stock_average_daily_jp.csv,2026-03-21T05:06:26+00:00
nikkei225,2026-03-12,54452.96,54387.90,54733.08,53796.01,https://indexes.nikkei.co.jp/nkave/historical/nikkei_stock_average_daily_jp.csv,2026-03-21T05:06:26+00:00
nikkei225,2026-03-13,53819.61,53587.30,54065.31,53286.69,https://indexes.nikkei.co.jp/nkave/historical/nikkei_stock_average_daily_jp.csv,2026-03-21T05:06:26+00:00
nikkei225,2026-03-16,53751.15,53627.86,53983.51,53113.95,https://indexes.nikkei.co.jp/nkave/historical/nikkei_stock_average_daily_jp.csv,2026-03-21T05:06:26+00:00
nikkei225,2026-03-17,53700.39,54286.26,54388.43,53482.59,https://indexes.nikkei.co.jp/nkave/historical/nikkei_stock_average_daily_jp.csv,2026-03-21T05:06:26+00:00
nikkei225,2026-03-18,55239.40,54148.84,55239.40,54148.84,https://indexes.nikkei.co.jp/nkave/historical/nikkei_stock_average_daily_jp.csv,2026-03-21T05:06:26+00:00
nikkei225,2026-03-19,53372.53,54287.80,54333.02,53190.18,https://indexes.nikkei.co.jp/nkave/historical/nikkei_stock_average_daily_jp.csv,2026-03-21T05:06:26+00:00
nikkei225,2026-03-23,51515.49,52468.72,52479.81,50688.76,https://indexes.nikkei.co.jp/nkave/historical/nikkei_stock_average_daily_jp.csv,2026-03-23T08:36:27+00:00
nikkei225,2026-03-24,52252.28,52380.60,52701.99,51645.15,https://indexes.nikkei.co.jp/nkave/historical/nikkei_stock_average_daily_jp.csv,2026-03-24T08:32:52+00:00
nikkei225,2026-03-25,53749.62,53015.80,54022.88,53015.80,https://indexes.nikkei.co.jp/nkave/historical/nikkei_stock_average_daily_jp.csv,2026-03-25T08:32:39+00:00
nikkei225,2026-03-26,53603.65,53855.13,54175.80,53176.77,https://indexes.nikkei.co.jp/nkave/historical/nikkei_stock_average_daily_jp.csv,2026-03-26T08:34:59+00:00
