code,company_name,ticker_tse
6247,日阪製作所,6247.T
6250,やまびこ,6250.T
6254,野村マイクロ・サイエンス,6254.T
6258,平田機工,6258.T
6264,マルマエ,6264.T
6266,タツモ,6266.T
6268,ナブテスコ,6268.T
6269,三井海洋開発,6269.T
6272,レオン自動機,6272.T
6273,ＳＭＣ,6273.T
6277,ホソカワミクロン,6277.T
6278,ユニオンツール,6278.T
6279,瑞光,6279.T
6282,オイレス工業,6282.T
6284,日精エー・エス・ビー機械,6284.T
6287,サトー,6287.T
6289,技研製作所,6289.T
6294,オカダアイヨン,6294.T
6298,ワイエイシイホールディングス,6298.T
6301,小松製作所,6301.T
6302,住友重機械工業,6302.T
6305,日立建機,6305.T
6306,日工,6306.T
6309,巴工業,6309.T
6310,井関農機,6310.T
6315,ＴＯＷＡ,6315.T
6323,ローツェ,6323.T
6324,ハーモニック・ドライブ・システムズ,6324.T
6326,クボタ,6326.T
6328,荏原実業,6328.T
6330,東洋エンジニアリング,6330.T
6331,三菱化工機,6331.T
6332,月島ホールディングス,6332.T
6333,ＴＥＩＫＯＫＵ,6333.T
6339,新東工業,6339.T
6340,澁谷工業,6340.T
6345,アイチ　コーポレーション,6345.T
6349,小森コーポレーション,6349.T
6351,鶴見製作所,6351.T
6358,酒井重工業,6358.T
6361,荏原製作所,6361.T
6363,酉島製作所,6363.T
